Case Number,Day,When,What,Duration,Charges,Closed,Casecode
,Saturday,12/1/2018,CH,0.5,,00/00/0000,
,Monday,3/18/2019,NOTE,0.5,,00/00/0000,
,Monday,3/18/2019,APPT,0.5,,00/00/0000,
,Monday,3/18/2019,POPUP,4,,00/00/0000,
,Tuesday,3/19/2019,MEET,0.5,,00/00/0000,
,Thursday,4/4/2019,DMV,1,,00/00/0000,
,Friday,4/5/2019,CH,0.5,,00/00/0000,
,Tuesday,4/9/2019,NOTE,0,,00/00/0000,
,Thursday,4/11/2019,CONSULT,0.5,,00/00/0000,
,Monday,4/15/2019,NOTE,3,,00/00/0000,
,Sunday,4/21/2019,HOLIDAY,0,,00/00/0000,
,Tuesday,5/14/2019,NOTE,0.5,,00/00/0000,
,Monday,5/27/2019,HOLIDAY,0,,00/00/0000,
,Tuesday,6/4/2019,APPT,0.5,,00/00/0000,
,Tuesday,6/4/2019,NOTE,1.5,,00/00/0000,
,Thursday,6/6/2019,NOTE,0.5,,00/00/0000,
,Thursday,6/6/2019,NOTE,2.5,,00/00/0000,
,Thursday,6/20/2019,NOTE,0.5,,00/00/0000,
,Thursday,6/20/2019,1ST.MEET,0.5,,00/00/0000,
,Friday,6/21/2019,NOTE,0.5,,00/00/0000,
,Friday,6/21/2019,CH,1,,00/00/0000,
,Thursday,6/27/2019,NOTE,1,,00/00/0000,
,Thursday,6/27/2019,CH,0.5,,00/00/0000,
,Friday,6/28/2019,APPT,3,,00/00/0000,
,Friday,6/28/2019,APPT,1.5,,00/00/0000,
,Monday,7/1/2019,NOTE,1.5,,00/00/0000,
,Tuesday,7/2/2019,NOTE,1,,00/00/0000,
,Tuesday,7/2/2019,CH,0.5,,00/00/0000,
,Tuesday,7/2/2019,NOTE,1,,00/00/0000,
,Wednesday,7/3/2019,APPT,0.5,,00/00/0000,
,Wednesday,7/3/2019,CH,0.5,,00/00/0000,
,Thursday,7/4/2019,HOLIDAY,0,,00/00/0000,
,Thursday,7/4/2019,NOTE,10.5,,00/00/0000,
,Friday,7/5/2019,NOTE,10.5,,00/00/0000,
,Monday,7/8/2019,NOTE,0.5,,00/00/0000,
,Wednesday,7/10/2019,APPT,0.5,,00/00/0000,
,Thursday,7/11/2019,NOTE,0.5,,00/00/0000,
,Thursday,8/1/2019,CH,0.5,,00/00/0000,
