Case Number,Casecode,Opened,Closed,Charges,Disposition
18-097,CUSTODY,6/27/2018,00/00/0000,,
19-042,ULD,2/6/2019,00/00/0000,,
19-069,CRI-DUI,3/5/2019,00/00/0000,,
18-197,DV,8/14/2018,00/00/0000,,
18-083,CUSTODY,5/8/2018,00/00/0000,,
18-257,CRI-DUI,10/19/2018,00/00/0000,,
19-082,CUSTODY,3/19/2019,00/00/0000,,
18-273,CRI,3/27/2019,00/00/0000,,
19-073,CRI,3/26/2019,00/00/0000,,
18-222,CUSTODY,9/11/2018,00/00/0000,,
18-261,CIV,9/6/2018,00/00/0000,,
19-092,ACC300,4/5/2019,00/00/0000,,
18-065,APJVSQ,3/13/2018,6/10/2019,,OTHER
18-300,CRI,12/11/2018,00/00/0000,,
19-137,CUSTODY,5/15/2019,00/00/0000,,
19-161,DV,6/5/2019,00/00/0000,,
22-256,CRI,10/26/2022,00/00/0000,,
19-213,CRI-DUI,7/19/2019,00/00/0000,,
19-223,CUSTODY,7/24/2019,00/00/0000,,
19-245,CUSTODY,8/15/2019,00/00/0000,,
18-204,TRU,11/1/2018,00/00/0000,,
19-270,CRI,8/28/2019,00/00/0000,,
19-308,GUARD,9/10/2019,00/00/0000,,
19-344,CRI,10/25/2019,00/00/0000,,
19-345,DIVORCE,10/28/2019,00/00/0000,,
19-371,CRI,11/25/2019,00/00/0000,,
19-384,CRI,12/6/2019,00/00/0000,,
20-008,CRI,1/11/2020,00/00/0000,,
20-037,CIV,2/5/2020,7/10/2020,,Other
20-071,CRI,3/3/2020,00/00/0000,,
20-080,CRI,3/12/2020,00/00/0000,,
20-117,CRI,5/22/2020,00/00/0000,,
20-175,APCVDM,7/17/2020,12/21/2020,,OTHER
20-224,CRI,8/27/2020,00/00/0000,,
20-282,CIV,11/20/2019,12/9/2019,,
20-299,DIVORCE,11/2/2020,00/00/0000,,
21-053,DIVORCE,3/12/2021,00/00/0000,,
21-104,CUSTODY,4/29/2021,00/00/0000,,
22-079,CUSTODY,4/20/2022,00/00/0000,,
18-208,CRI,9/7/2018,00/00/0000,,
22-130,CRI,6/6/2022,00/00/0000,,
22-271,CRI,11/15/2022,00/00/0000,,
23-013,PATERN,1/17/2023,00/00/0000,,
23-255,CUSTODY,10/13/2023,00/00/0000,,
24-078,DIVORCE,4/25/2024,00/00/0000,,
24-119,DIVORCE,6/6/2024,00/00/0000,,
1234,APCON,1/1/2018,00/00/0000,FELONY,
18-275,APCON,11/9/2018,7/17/2020,FELONY,Other
18-230,APCON,9/26/2018,9/17/2019,FELONY,Plea
19-053,APCON,2/20/2019,3/1/2019,FELONY,other
18-279,APCON,11/13/2018,2/27/2020,FELONY,Plea
19-021,APCON,1/18/2019,1/21/2020,FELONY,Plea
18-142,APCON,6/7/2018,10/27/2020,FELONY,Trial
18-008,APCON,1/3/2018,7/15/2019,FELONY,Trial
19-054,APCON,2/21/2019,4/15/2019,FELONY,Plea
18-253,APCON,10/16/2018,2/28/2019,FELONY,Plea
19-056,APCON,2/21/2019,8/5/2019,FELONY,Plea
18-303,APCON,12/12/2018,7/1/2020,FELONY,Plea
19-023,APCON,1/24/2019,5/6/2019,FELONY,Trial
19-001,APCON,1/3/2019,5/21/2019,FELONY,Trial
18-267,APCON,11/2/2018,12/10/2019,FELONY,Plea
18-231,APCON,9/27/2018,3/7/2019,FELONY,Plea
18-277,APCON,11/9/2018,6/11/2019,FELONY,Plea
18-172,APCON,7/17/2018,5/2/2019,FELONY,Plea
18-283,APCON,11/16/2018,7/3/2019,FELONY,Plea
18-281,APCON,11/14/2018,1/2/2020,FELONY,Dismissed
18-225,APCON,9/24/2018,9/12/2019,FELONY,Plea
19-052,APCON,2/19/2019,6/27/2019,FELONY,Other
19-060,APCON,2/26/2019,6/11/2019,FELONY,Plea
19-024,APCON,1/23/2019,4/11/2019,FELONY,Plea
19-031,APCON,1/23/2019,4/11/2019,FELONY,Plea
19-074,APCON,3/12/2019,10/1/2019,FELONY,Plea
18-217,APCON,9/19/2018,4/8/2019,FELONY,Plea
18-246,APCON,10/11/2018,2/11/2019,FELONY,Plea
18-245,APCON,10/11/2018,2/11/2019,FELONY,Plea
18-244,APCON,10/11/2018,2/11/2019,FELONY,Plea
